t,T
17010,300.279
17020,300.281
17030,300.283
17040,300.285
17050,300.287
17060,300.289
17070,300.291
17080,300.293
17090,300.295
17100,300.297
17110,300.299
17120,300.301
17130,300.303
17140,300.305
17150,300.307
17160,300.309
17170,300.311
17180,300.314
17190,300.316
17200,300.318
17210,300.32
17220,300.322
17230,300.325
17240,300.327
17250,300.329
17260,300.331
17270,300.334
17280,300.336
17290,300.338
17300,300.341
17310,300.343
17320,300.345
17330,300.348
17340,300.35
17350,300.352
17360,300.355
17370,300.357
17380,300.36
17390,300.362
17400,300.365
17410,300.367
17420,300.37
17430,300.372
17440,300.375
17450,300.377
17460,300.38
17470,300.382
17480,300.385
17490,300.387
17500,300.39
17510,300.393
17520,300.395
17530,300.398
17540,300.401
17550,300.403
17560,300.406
17570,300.409
17580,300.412
17590,300.414
17600,300.417
17610,300.42
17620,300.423
17630,300.426
17640,300.428
17650,300.431
17660,300.434
17670,300.437
17680,300.44
17690,300.443
17700,300.446
17710,300.449
17720,300.452
17730,300.455
17740,300.458
17750,300.461
17760,300.464
17770,300.467
17780,300.47
17790,300.473
17800,300.476
17810,300.48
17820,300.483
17830,300.486
17840,300.489
17850,300.492
17860,300.496
17870,300.499
17880,300.502
17890,300.505
17900,300.509
17910,300.512
17920,300.515
17930,300.519
17940,300.522
17950,300.526
17960,300.529
17970,300.533
17980,300.536
17990,300.54
18000,300.543
18010,300.547
18020,300.55
18030,300.554
18040,300.557
18050,300.561
18060,300.565
18070,300.568
18080,300.572
18090,300.576
18100,300.579
18110,300.583
18120,300.587
18130,300.591
18140,300.594
18150,300.598
18160,300.602
18170,300.606
18180,300.61
18190,300.614
18200,300.618
18210,300.622
18220,300.626
18230,300.63
18240,300.634
18250,300.638
18260,300.642
18270,300.646
18280,300.65
18290,300.654
18300,300.658
18310,300.663
18320,300.667
18330,300.671
18340,300.675
18350,300.68
18360,300.684
18370,300.688
18380,300.693
18390,300.697
18400,300.701
18410,300.706
18420,300.71
18430,300.715
18440,300.719
18450,300.724
18460,300.728
18470,300.733
18480,300.737
18490,300.742
18500,300.747
18510,300.751
18520,300.756
18530,300.761
18540,300.766
18550,300.77
18560,300.775
18570,300.78
18580,300.785
18590,300.79
18600,300.795
18610,300.8
18620,300.805
18630,300.81
18640,300.815
18650,300.82
18660,300.825
18670,300.83
18680,300.835
18690,300.84
18700,300.845
18710,300.851
18720,300.856
18730,300.861
18740,300.866
18750,300.872
18760,300.877
18770,300.882
18780,300.888
18790,300.893
18800,300.899
18810,300.904
18820,300.91
18830,300.915
18840,300.921
18850,300.927
18860,300.932
18870,300.938
18880,300.944
18890,300.949
18900,300.955
18910,300.961
18920,300.967
18930,300.973
18940,300.978
18950,300.984
18960,300.99
18970,300.996
18980,301.002
18990,301.008
19000,301.014
19010,301.02
19020,301.027
19030,301.033
19040,301.039
19050,301.045
19060,301.051
19070,301.058
19080,301.064
19090,301.07
19100,301.077
19110,301.083
19120,301.09
19130,301.096
19140,301.103
19150,301.109
19160,301.116
19170,301.123
19180,301.129
19190,301.136
19200,301.143
19210,301.149
19220,301.156
19230,301.163
19240,301.17
19250,301.177
19260,301.184
19270,301.191
19280,301.198
19290,301.205
19300,301.212
19310,301.219
19320,301.226
19330,301.233
19340,301.24
19350,301.248
19360,301.255
19370,301.262
19380,301.27
19390,301.277
19400,301.284
19410,301.292
19420,301.299
19430,301.307
19440,301.314
19450,301.322
19460,301.33
19470,301.337
19480,301.345
19490,301.353
19500,301.361
19510,301.368
19520,301.376
19530,301.384
19540,301.392
19550,301.4
19560,301.408
19570,301.416
19580,301.424
19590,301.432
19600,301.441
19610,301.449
19620,301.457
19630,301.465
19640,301.474
19650,301.482
19660,301.491
19670,301.499
19680,301.507
19690,301.516
19700,301.525
19710,301.533
19720,301.542
19730,301.551
19740,301.559
19750,301.568
19760,301.577
19770,301.586
19780,301.595
19790,301.604
19800,301.613
19810,301.622
19820,301.631
19830,301.64
19840,301.649
19850,301.658
19860,301.667
19870,301.677
19880,301.686
19890,301.695
19900,301.705
19910,301.714
19920,301.724
19930,301.733
19940,301.743
19950,301.752
19960,301.762
19970,301.772
19980,301.781
19990,301.791
20000,301.801
20010,301.811
20020,301.821
20030,301.831
20040,301.841
20050,301.851
20060,301.861
20070,301.871
20080,301.881
20090,301.891
